site,genome,Completeness,Contamination,gene_count,domain,phylum,class,order,family,genus,species
SW,71,39.64,2.88,1176,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,,
SW,72,38.97,6.03,2960,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HB2-32-21,
SW,73,38.97,4.31,1741,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
SW,74,38.1,6.84,4434,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,,
SW,75,36.04,0.91,1082,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,
SW,76,30.86,3.51,1341,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,UBA6177,,
SW,77,29.25,7.62,809,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,
SW,78,27.91,5.74,390,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
SW,79,27.19,0,1510,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA7805,,
SW,8,95.95,0.48,2616,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,,,
SW,80,25.86,5.17,1059,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
SW,81,24.62,2.96,4974,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,GCA_002083555.1
SW,82,23.73,0,360,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
SW,83,23.69,2.68,1179,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,,,
SW,84,23.24,1.22,634,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
SW,85,21.68,1.03,1036,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,UBA1487,
SW,86,21.55,0,2972,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
SW,87,21.05,9.01,215,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
SW,88,21.03,0.1,426,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,21-14-0-20-64-6,
SW,89,20.69,5.17,2009,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,
SW,9,95.73,0.57,3602,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,,
SW,90,20.44,1.1,2759,Bacteria,Acidobacteriota,Luteitaleia,,,,
SW,91,18.97,0,657,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,
SW,92,18.97,0,1318,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,Aquabacterium parvum
SW,93,18.04,0.65,1376,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Nucleicultricaceae,Nucleicultrix,Nucleicultrix amoebiphila
WC,1,88.49,2.08,4675,Bacteria,Cyanobacteriota,Cyanobacteriia,Thermosynechococcales,Thermosynechococcaceae,,
WC,10,59.73,8.75,2506,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,
WC,11,58.95,0,1042,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,12-FULL-43-12b,
WC,12,58.15,0,925,Bacteria,Patescibacteria,Berkelbacteria,,,,
WC,13,58.09,6.77,1462,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,,
WC,14,58.04,1.71,911,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,,
WC,15,56.87,0,1134,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,UBA10103,
WC,16,52.72,0.33,2397,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Chamaesiphonaceae,Chamaesiphon,
WC,17,50.15,1.03,1769,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter_A,
WC,18,46.55,0,662,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,
WC,19,45.39,0.8,757,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
WC,2,81.94,0.93,1120,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
WC,20,45.33,7.57,2785,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,,
WC,21,44.85,3.33,1014,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
WC,22,44.11,0.68,786,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA1006,,
WC,23,43.29,0.47,812,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,UBA10103,
WC,24,43.27,2.81,402,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,2-01-FULL-33-17,
WC,25,42.95,0.8,674,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
WC,26,41.38,0.57,521,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,
WC,27,39.7,2.15,1645,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,,
WC,28,39.42,0.85,539,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,UBA6065,
WC,29,37.93,0,920,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,
WC,3,74.06,0.74,3737,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA10320,
WC,30,37.73,5.06,489,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,UBA910,
WC,31,37.07,0,1022,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,
WC,32,36.06,0,589,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,1-14-0-10-45-20,
WC,33,35.9,0.23,1397,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,
WC,34,35.85,0.81,612,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,AcAMD-5,,
WC,35,35.19,2.35,1828,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,OSC116,,
WC,36,34.73,1.72,631,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,2-01-FULL-51-21,
WC,37,33.08,0,412,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
WC,38,32.52,0,420,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,,
WC,39,29.38,0,834,Bacteria,Patescibacteria,Paceibacteria,UBA9983,GCA-2401445,,
WC,4,71.31,12.65,3189,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,
WC,40,28.48,2.25,464,Bacteria,Patescibacteria,Paceibacteria,UBA9983,GCA-2401445,,
WC,41,28.07,0,381,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Rhodoluna,
WC,42,27.47,0,487,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,
WC,43,27.41,1.19,848,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,,
WC,44,24.16,0,598,Bacteria,Omnitrophota,UBA9649,2-02-FULL-51-18,,,
WC,45,24.14,0,1327,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,
WC,46,23.88,1.82,334,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,,
WC,47,21.61,1.12,249,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,,
WC,48,21.61,0.34,952,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ga0077559,
WC,49,21.57,6.71,1586,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,GCA-2402195,
WC,5,66.38,1.72,2305,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Solitaleaceae,,
WC,50,20.69,1.72,287,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,
WC,51,20.61,0,331,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,,
WC,52,19.12,0,1042,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
WC,53,19.04,0,457,Bacteria,Patescibacteria,Gracilibacteria,BD1-5,UBA6164,GCA-2747975,
WC,54,16.88,1.72,4472,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,2013-40CM-41-45,,
WC,55,16.38,0,514,Bacteria,Omnitrophota,Omnitrophia,Omnitrophales,GWA2-52-8,,
WC,56,16.22,0,441,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,UBA2334,
WC,57,15.91,0,654,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,,
WC,58,14.81,0,946,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,
WC,59,14.66,1.38,683,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Brachymonas,
WC,6,65.31,2.76,1335,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter,
WC,60,13.79,1.72,942,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
WC,7,64.95,0.85,1016,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,,
WC,8,61.72,0.37,938,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,SM23-39,,
WC,9,60.44,1.17,1673,Bacteria,Omnitrophota,UBA9649,2-02-FULL-51-18,,,
